Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation
27.9,19.9,58.96412277,97.82137299,26.79837514,20.82871352,6.397833079,75.36666402,0.197580135,0.306509926,0.423613181,0.842868355,0,0,0,0.025889567,37.6046,126.991,212.335,2.785,5992.895996
30.3,21,51.61782837,89.57739258,29.06965218,22.9799556,6.199736307,54.44932902,0.193229391,0.311706626,0.431707279,0.816845663,0,0,0,0.031923682,37.6046,127.032,44.7624,0.5141,5869.3125
30.2,22.5,47.53852081,85.52945709,29.69697408,23.55428088,6.269955824,14.450297,0.200518063,0.301900873,0.410574827,0.825652794,0,0,0,0.01125387,37.5776,127.058,33.3068,0.2661,5863.555664
30.7,22,59.40771103,98.80696869,28.23487182,21.38098686,6.755824586,105.2264572,0.186295148,0.302105657,0.397818378,0.781959447,0,0,0,0.041682291,37.645,127.022,45.716,2.5348,5856.964844
31,21.8,55.0041275,92.86707306,27.98820189,22.16418378,6.24100557,104.7912465,0.173244993,0.291851867,0.447997531,0.823050482,0,0,0,0.014003625,37.5507,127.135,35.038,0.5055,5859.552246
30.3,23.6,52.75056458,89.0917511,28.26502709,23.49729551,6.161899298,55.19098306,0.13997843,0.292214704,0.473749139,0.819852239,0,0,0,0.001466521,37.5102,127.042,54.6384,0.1457,5873.780762
29.7,22.5,61.23201752,97.0407486,27.52268385,22.51703157,5.676015894,120.2693955,0.209620919,0.328994171,0.427922864,0.820019033,0,0,0,0.001264872,37.5776,126.838,12.37,0.0985,5849.233398
29.4,23.2,56.35694122,92.61975861,27.69969886,21.76607537,6.032216966,47.58625265,0.160976468,0.308147018,0.455095136,0.86733887,0,0,0,0,37.4697,126.91,52.518,1.5629,5863.992188
28.4,19.4,58.67096329,94.93306732,26.34483234,21.95475269,6.265716294,51.93653855,0.146523794,0.292482639,0.451797069,0.834759785,0,0,0,0.000923198,37.4562,126.955,208.507,5.1782,5893.608398
30.8,22.8,49.18729401,85.34075165,29.14637368,23.00608442,6.055554032,43.84745757,0.198038467,0.298439255,0.443851036,0.837637236,0,0,0,0.00832047,37.5776,127.083,59.8324,2.6865,5861.027344
29.7,20.9,57.47760391,91.94091797,27.51002577,22.95290251,5.779289772,67.77758332,0.156215374,0.294159573,0.444981977,0.779324043,0,0,0,0,37.4697,126.995,82.2912,2.2579,5861.383301
30.8,19.3,52.97571945,88.36907959,28.74208785,21.0387872,5.649025102,97.39195618,0.180855681,0.287653717,0.42410098,0.848627124,0,0,0,0.015492768,37.6181,127.099,53.4712,0.697,5872.376465
31.6,22.7,57.20022583,91.09496307,27.75286528,22.96620081,5.619291763,80.43614527,0.147857309,0.286500577,0.460815958,0.808120444,0,0,0,0,37.4832,127.024,56.4448,1.2313,5864.952637
29.9,23.4,54.80869675,90.93643951,28.0698515,23.17500943,6.264150679,90.43584601,0.134950943,0.28954282,0.452056727,0.786872015,0,0,0,0.007441429,37.5102,127.086,21.9668,0.1332,5852.904297
30.8,23,55.48974991,94.59732056,28.19953341,22.32184528,5.925764273,70.48213005,0.166607512,0.319652846,0.427623103,0.836449504,0,0,0,0.002163821,37.5372,126.891,15.5876,0.1554,5851.387695
30.7,23,50.14958954,87.56580353,29.16635951,23.47860105,6.292291189,9.058919728,0.149628783,0.314836727,0.451816827,0.818552256,0,0,0,0,37.5237,126.97,19.5844,0.2713,5855.09375
29.2,19.8,91.3008728,99.99242401,24.36134133,22.59867726,9.322270095,12.32262232,0.937196155,0.867489722,0.898533887,0.896397703,3.317035275,0.379959155,0.527748325,1.885088167,37.6046,126.991,212.335,2.785,5987.71875
29.7,21.7,85.73202515,97.57059479,26.34432202,23.87845556,8.86522158,31.00029635,0.894898716,0.850615929,0.879652056,0.852344766,4.078691093,0.398555826,0.23884313,1.979121107,37.6046,127.032,44.7624,0.5141,5863.956055
29.4,23.1,85.96389008,95.29216003,26.45517974,24.07993855,8.219405552,59.35796007,0.901592324,0.871721334,0.901148458,0.839213293,3.879446989,0.35926237,0.126260472,2.80258176,37.5776,127.058,33.3068,0.2661,5858.20166
30.6,22.9,90.67022705,99.86634827,26.3726689,23.15012812,9.485841105,43.30839932,0.860860429,0.76450917,0.789116156,0.858136581,2.31838463,0.278620941,0.3840716,2.159342428,37.645,127.022,45.716,2.5348,5851.575195
29,22.5,87.99890137,95.88116455,26.31186621,23.47996104,8.126258612,55.22579463,0.922860212,0.833015753,0.838370856,0.906169325,5.375933786,0.286771402,0.050220332,3.206304783,37.5507,127.135,35.038,0.5055,5854.146973
30.1,23.6,84.79698944,94.54164886,26.11475339,23.76501646,8.192117651,61.26182318,0.867059264,0.837540703,0.846340299,0.829547738,5.140285441,0.132299845,0.217475416,3.898862413,37.5102,127.042,54.6384,0.1457,5868.374512
28.7,22.3,91.55068207,98.09624481,25.41447971,23.73715156,8.944909831,71.69838683,0.86484369,0.870778965,0.893244793,0.871212814,1.054399669,0.167609672,0.955907777,2.023003515,37.5776,126.838,12.37,0.0985,5843.853516
29.2,22.6,88.89157867,96.80129242,25.37449597,23.55839963,8.909016629,46.39290913,0.93931419,0.842152079,0.843492375,0.873512503,3.172913184,0.107737114,0.743876117,2.83481177,37.4697,126.91,52.518,1.5629,5858.525879
30.2,22.3,92.18244171,98.27542877,24.99528886,23.22527853,9.051292221,36.38006043,0.95376721,0.823671271,0.846985098,0.850654559,1.457679642,0.128332393,0.812609575,1.248409188,37.4967,126.826,50.9312,0.4125,5871.54541
27.3,20.2,88.68618011,98.08205414,24.53093716,22.81572169,10.22859283,25.42496896,0.905507525,0.833077841,0.816692038,0.85939769,6.537107666,0.097626477,1.244377521,3.249395782,37.4562,126.955,208.507,5.1782,5887.616211
29.4,23.5,83.24976349,93.61268616,26.64104274,23.81651607,8.103839954,63.70683209,0.889048633,0.850386116,0.842221535,0.87771777,5.304720735,0.250221444,0.065307222,3.920310658,37.5372,127.085,28.7,0.6233,5858.687012
29.3,20.9,85.94395447,97.69480133,25.38039485,23.2754748,8.697955072,53.16571267,0.9011225,0.867350191,0.879063778,0.895380596,2.642576764,0.261794146,0.288427641,2.315489133,37.5507,126.988,132.118,0.5931,5918.901367
30.4,23.7,84.42402649,94.1412735,26.20031351,23.80993358,7.927799344,53.23727552,0.900483674,0.846628759,0.850511311,0.865547316,5.360599035,0.343378658,0.064833148,3.891844086,37.5776,127.083,59.8324,2.6865,5855.550293
29.8,22.5,86.7667923,96.25506592,25.91320389,23.81703523,8.796035031,55.38121692,0.92046643,0.86491351,0.827510609,0.877462453,3.85682338,0.120942821,0.360891171,2.597546879,37.4967,126.927,30.968,0.618,5852.552734
30.6,22.1,86.46246338,96.94050598,26.1078439,23.76437984,8.419040581,56.01604557,0.887793657,0.870809416,0.870311903,0.886197961,2.19827424,0.217345313,0.484769717,1.587956007,37.5507,126.937,30.0464,0.8552,5861.348633
28.5,20.9,85.53556061,96.44680786,26.00737554,23.66683581,9.645634453,56.5288674,0.824230275,0.729042031,0.702859353,0.804525334,6.741770502,0.088991488,0.844557708,3.250543555,37.4697,126.995,82.2912,2.2579,5855.75293
29.4,20,87.45572662,95.49147034,26.15526556,23.5294833,7.110234727,35.60920544,0.912735032,0.85130416,0.866089188,0.879267097,4.368012924,0.33913215,0.06052361,2.439351371,37.6181,127.099,53.4712,0.697,5866.985352
30.9,22.8,85.47060394,94.85951996,26.26752494,23.60190138,8.32526053,56.61962048,0.830608186,0.795277657,0.745964482,0.80733039,6.678035499,0.090717877,0.452293888,3.118284453,37.4832,127.024,56.4448,1.2313,5859.464355
